#{"t_start": 1758577206.2161815, "env_id": "None"}
r,l,t
-0.75,26,1.485445
-1.69,120,1.738503
-0.27,28,1.794299
-2.42,193,2.172164
-1.9,141,2.452751
-3.71,372,3.165163
-0.84,35,3.229794
-3.81,382,4.478311
-9.0,1000,6.955394
-9.0,1000,9.199021
-1.49,150,9.467
-5.24,774,11.361932
-2.26,227,11.776297
-1.02,103,11.96821
-1.51,401,12.701151
0.46,204,13.551196
-1.13,114,13.753726
1.44,106,13.954853
-1.41,142,14.214525
0.86,164,14.504305
1.6,90,14.66258
-1.28,129,14.902446
0.53,197,15.265325
0.97,153,16.051115
1.32,118,16.266155
1.34,116,16.484397
1.52,98,16.663281
1.77,73,16.799505
-0.65,66,16.916544
1.61,89,17.076459
-0.67,18,17.108257
-0.42,43,17.183751
-0.76,77,17.319414
1.34,116,17.530668
-0.64,65,17.644707
1.57,93,18.260604
1.77,73,18.391178
1.69,81,18.539306
1.62,88,18.696739
-0.8,81,18.843563
1.59,91,19.002761
-0.67,68,19.12203
1.51,99,19.300494
-1.06,107,19.49092
-0.81,32,19.552726
1.62,88,19.710012
-0.67,68,19.832071
1.49,101,20.537479
1.22,128,20.778815
1.8,70,20.902709
-0.52,53,20.996988
1.44,106,21.181409
1.62,88,21.340119
1.78,72,21.474181
1.6,90,21.645002
1.87,63,21.755486
1.63,87,21.907723
1.67,83,22.054769
1.68,82,22.201625
1.66,84,22.370534
1.75,75,22.949196
1.79,71,23.075185
1.28,122,23.28895
2.05,45,23.371473
1.81,69,23.50244
1.88,62,23.616965
1.64,86,23.771497
1.92,58,23.872036
1.92,58,23.973042
1.71,79,24.114049
1.98,52,24.206123
1.72,78,27.013816
1.66,84,27.164422
1.71,79,27.306515
1.96,54,27.863613
1.95,55,28.047463
2.01,49,28.147334
2.02,48,28.238503
1.97,53,28.334902
2.03,47,28.419144
1.79,71,28.549597
1.66,84,28.708533
1.57,93,28.873242
2.06,44,28.950408
1.94,56,29.050366
1.61,89,29.20459
1.66,84,29.35623
1.94,56,29.456985
1.77,73,29.59815
1.92,58,29.716299
1.97,53,30.317765
2.06,44,30.398928
1.77,73,30.533625
1.66,84,30.746201
2.06,44,30.825208
1.93,57,30.926513
2.02,48,31.014845
1.91,59,31.118355
1.54,96,31.287199
2.09,41,31.361506
2.05,45,31.442782
1.99,51,31.533211
2.0,50,31.621066
1.91,59,31.726665
1.94,56,31.827129
1.78,72,31.952492
2.01,49,32.040941
2.0,50,32.130469
1.85,65,32.67177
2.06,44,32.751978
2.05,45,32.832802
1.99,51,32.921151
2.05,45,33.001071
1.95,55,33.12156
1.75,75,33.287615
1.91,59,33.39287
2.02,48,33.483316
2.05,45,33.561872
2.06,44,33.63897
2.02,48,33.725062
2.08,42,33.800283
1.92,58,33.903133
1.89,61,34.011919
2.0,50,34.103456
2.02,48,34.186837
1.9,60,34.290775
2.03,47,34.373426
1.94,56,34.904253
2.06,44,34.983674
1.83,67,35.100114
2.11,39,35.170835
2.08,42,35.244231
2.13,37,35.308813
2.0,50,35.396236
2.02,48,35.48062
2.09,41,35.552313
1.94,56,35.649539
1.86,64,35.761229
1.92,58,35.863216
2.09,41,35.93789
1.91,59,36.048775
2.13,37,36.112603
2.13,37,36.180089
2.03,47,36.262556
2.02,48,36.349473
1.99,51,36.438759
2.0,50,36.526173
2.02,48,36.610119
2.09,41,36.686123
2.05,45,37.216464
1.95,55,37.313015
2.06,44,37.394821
2.03,47,37.483049
1.92,58,37.585869
2.03,47,37.66858
2.06,44,37.746573
2.11,39,37.817797
1.96,54,37.915083
2.09,41,37.988975
2.13,37,38.05724
2.07,43,38.132266
2.12,38,38.198224
2.07,43,38.278691
2.03,47,38.363149
2.04,46,38.447398
2.12,38,38.514397
2.08,42,38.589137
2.13,37,38.65591
1.97,53,38.749745
2.06,44,38.827481
2.11,39,38.896028
1.96,54,38.991065
2.15,35,39.498412
2.17,33,39.556828
2.11,39,39.627288
2.09,41,39.699519
2.13,37,39.764213
2.17,33,39.821332
