#{"t_start": 1758576410.4097598, "env_id": "None"}
r,l,t
-0.56,7,1.480417
-0.70000005,21,1.50741
-0.8599999,37,1.542647
-0.89999986,41,1.550276
-0.9899998,50,1.567612
-0.81999993,33,1.632286
-1.3499994,86,1.637968
-1.3599994,87,1.63989
-1.4099994,92,1.649714
-1.4099994,92,1.649787
-0.57,8,1.653866
-1.5499994,106,1.676451
-1.6099993,112,1.687785
-0.9199996,93,1.691601
-0.91999984,43,1.734315
-1.889999,140,1.757785
-1.4699993,148,1.759796
-0.65,16,1.765445
-0.69999987,71,1.771427
-1.1299996,64,1.779038
-0.9399998,45,1.781024
-0.73,24,1.810931
-1.7299987,174,1.880728
-2.6099985,212,1.882738
-0.9899998,50,1.907038
-2.3399987,185,1.909019
-0.7100001,72,1.918396
-1.3999991,141,1.922217
-1.8599983,237,1.92974
-0.76,27,1.933777
-1.4299994,94,1.950507
-1.4899989,150,1.968071
-0.25999993,27,1.987452
-2.3799987,189,2.006384
-1.8199991,133,2.016608
-0.9599998,47,2.022783
-1.2399995,75,2.098438
-0.9199995,93,2.100438
-1.6299993,114,2.102553
-3.3899972,340,2.130492
-1.9899988,200,2.143589
-1.2799995,79,2.158926
-2.5199986,203,2.170097
-2.3099985,182,2.260756
-0.5699999,58,2.270095
-1.5299994,104,2.300152
-1.1199994,113,2.315962
-0.42000008,43,2.344383
-1.7099992,122,2.364954
-0.8799999,39,2.389197
-1.9299985,194,2.389244
-2.7499983,226,2.402038
-1.8599985,237,2.444303
-4.109997,412,2.483348
-0.35,36,2.511042
-1.8499991,136,2.564295
-0.9699997,98,2.580975
-0.48000008,49,2.581022
-1.2199992,173,2.700445
-3.6599967,417,2.713322
-1.7999966,430,2.754227
-1.6199993,113,2.797754
-2.469998,298,2.843692
-1.8199981,233,2.853034
-1.0799997,59,2.866303
-0.8699999,38,2.870293
-3.6299973,364,2.872291
-4.0499964,456,2.901168
-2.0099983,202,2.903116
-3.6899974,320,2.957816
-5.250058,775,2.967025
-4.0099964,452,2.970754
-2.6299984,214,2.990145
-0.6299999,64,2.992111
-1.1099997,62,3.020013
-0.3299999,34,3.03116
-3.3599973,337,3.037038
-0.70000005,21,3.074485
-0.44999993,46,3.081949
-1.2699995,128,3.099797
-1.0299993,104,3.10205
-1.6999992,121,3.105917
-2.8899977,290,3.12087
-0.68,19,3.135735
-0.71000004,22,3.146879
-0.8799999,89,3.193801
-2.999998,251,3.196052
-0.63999987,65,3.207544
-0.8799999,39,3.211374
-1.899999,191,3.213319
-1.8199991,183,3.218961
-1.2499995,76,3.247761
-1.4099994,92,3.251601
-0.77,28,3.26092
-1.919999,143,3.266584
-0.9799998,49,3.307047
-1.0499997,56,3.32204
-1.4299994,94,3.329821
-2.159999,167,3.361262
-1.7699991,128,3.366879
-0.98999953,100,3.387316
-1.4899993,100,3.389234
-1.2899995,80,3.402742
-4.0900316,659,3.413807
