#{"t_start": 1758583306.6456592, "env_id": "None"}
r,l,t
-1.49,100,1.541531
-0.87,38,1.609161
-0.77,78,1.744714
-1.57,108,1.931912
-3.36,337,2.529906
-1.64,165,2.811146
-0.49,50,2.896145
-0.78,79,3.03275
-0.96,97,3.720547
-1.91,192,4.05929
-0.44,45,4.137557
-6.18,619,5.398773
-6.6,661,7.062114
-9.0,1000,9.307166
-6.89,690,11.226675
-3.11,561,12.185543
-3.93,394,13.325279
-6.55,905,14.914414
-0.81,331,16.095312
-1.55,156,16.36602
-1.91,192,16.686019
-0.91,341,17.267432
-0.56,57,17.850678
0.45,205,18.210481
-0.74,75,18.338689
-1.48,149,18.591447
1.56,94,18.760712
0.69,181,19.069877
-1.62,163,19.351336
-0.74,75,19.477448
1.76,74,20.048846
1.28,122,20.259064
1.8,70,20.380295
1.57,93,20.539413
-0.59,60,20.642064
-0.4,41,20.712714
-0.76,77,20.845266
1.53,97,21.011978
1.32,118,21.214046
-0.58,59,21.32111
-0.8,81,21.459433
-1.75,176,21.762891
-1.63,164,22.553593
-0.62,63,22.840847
-0.59,60,22.947085
1.42,108,23.142648
1.73,77,23.278347
-1.03,54,23.373168
-0.6,61,23.486284
-0.46,47,23.56764
-0.79,80,23.707869
-0.47,48,23.795948
-0.68,69,26.621267
1.55,95,26.795022
-0.69,70,26.915898
1.66,84,27.535617
1.61,89,27.69705
1.67,83,27.888546
-0.48,49,27.973683
-0.59,60,28.077326
1.76,74,28.207176
1.65,85,28.357522
1.82,68,28.47413
1.54,96,28.651033
-0.4,41,28.723074
-0.66,67,28.835496
1.54,96,28.997212
-0.58,59,29.101649
1.81,69,29.218719
1.47,103,29.867283
1.69,81,30.005573
1.36,114,30.206524
1.76,74,30.336555
-0.45,46,30.415895
1.89,61,30.519448
1.67,83,30.660926
1.98,52,30.755464
1.87,63,30.86444
1.8,70,30.98241
1.84,66,31.096463
-0.66,67,31.211858
1.94,56,31.31158
1.62,88,31.461993
1.94,56,32.038163
-0.65,66,32.152552
1.77,73,32.278872
1.9,60,32.382472
1.93,57,32.480587
1.7,80,32.616119
1.88,62,32.723125
1.83,67,32.841604
-0.63,64,32.958296
1.97,53,33.054775
1.65,85,33.199148
1.74,76,33.329093
-0.76,77,33.462862
-0.47,48,33.54553
1.63,87,33.692608
1.51,99,34.344179
1.82,68,34.463403
1.89,61,34.566568
1.96,54,34.657431
1.91,59,34.757586
1.91,59,34.862663
1.85,65,34.979932
1.34,116,35.179596
1.75,75,35.309917
1.71,79,35.449049
1.87,63,35.664886
1.83,67,35.780485
2.0,50,35.866817
1.88,62,35.984523
1.88,62,36.105077
1.93,57,36.716492
1.85,65,36.82897
1.91,59,36.92924
1.97,53,37.022557
2.0,50,37.11115
1.96,54,37.205776
1.94,56,37.299906
1.93,57,37.396946
1.94,56,37.492023
1.99,51,37.578756
1.81,69,37.696456
1.95,55,37.789215
2.02,48,37.872827
1.95,55,37.970824
1.77,73,38.10298
1.99,51,38.189373
1.85,65,38.301225
1.91,59,38.404466
1.94,56,38.980932
2.07,43,39.055699
1.95,55,39.154947
1.97,53,39.246385
1.94,56,39.342854
1.93,57,39.450209
1.98,52,39.538124
1.87,63,39.644288
2.03,47,39.723397
1.95,55,39.816798
1.89,61,39.920433
1.89,61,40.032439
2.01,49,40.122238
2.0,50,40.213066
1.88,62,40.31793
1.99,51,40.405077
1.98,52,40.494671
2.06,44,40.569076
1.99,51,40.656017
1.99,51,41.243675
1.71,79,41.378614
1.98,52,41.467659
2.09,41,41.536407
2.1,40,41.606838
2.02,48,41.692379
1.95,55,41.785092
2.07,43,41.859591
1.96,54,41.953023
1.84,66,42.065202
1.85,65,42.175374
1.91,59,42.291873
