#{"t_start": 1758580292.432392, "env_id": "None"}
r,l,t
-0.68,69,6.749174
-0.69,70,6.875373
-2.95,246,7.317245
-0.96,47,7.401177
-0.6,11,7.42127
-3.06,257,7.894052
-0.51,2,7.897564
-0.69,20,7.934417
-1.73,174,8.298705
-0.52,53,8.39574
-0.52,3,8.401755
-0.44,45,8.485713
-3.19,320,9.679502
-0.55,6,9.690603
-0.71,22,9.731437
-0.54,5,9.740551
-9.5,1000,12.62799
-0.57,8,12.643034
-1.35,86,12.801217
-1.68,169,13.112026
-9.5,1000,15.528926
-1.18,119,15.736018
-1.64,165,16.017017
-1.13,64,16.128433
-9.5,1000,18.3705
-0.6,11,18.390295
-9.5,1000,20.5782
-9.5,1000,22.744552
-9.5,1000,25.16727
-0.17,18,25.198337
-9.5,1000,27.432727
-0.67,68,27.550166
-0.44,45,27.629497
-6.72,673,29.274922
-0.88,39,29.342007
-9.5,1000,33.177473
-0.65,16,33.204729
-9.5,1000,35.48
-0.76,27,35.528898
-1.4,141,35.777106
-0.52,3,35.782273
-1.03,104,35.957886
-0.5,1,35.959806
-2.3,231,36.800214
-0.57,8,36.813899
-0.65,16,36.841521
-0.54,55,36.935769
-0.95,96,37.099182
-0.54,5,37.108519
-0.55,6,37.119305
-9.0,1000,39.319244
-1.46,97,39.486997
-9.5,1000,41.714908
-1.55,156,41.985898
-0.05,6,41.997104
-0.21,22,42.035733
-1.18,69,42.156722
-0.68,69,42.276095
-2.73,274,42.768725
-9.65,966,44.892732
-0.95,96,45.055825
-2.04,205,45.92543
-0.62,13,45.947604
-0.65,16,45.975092
-0.79,80,46.111459
-0.83,84,46.254813
-0.54,5,46.263907
-0.51,2,46.267323
-0.65,16,46.295354
-1.8,131,46.522936
-0.44,45,46.599127
-7.91,792,48.442931
-0.5,1,48.445019
-0.81,82,48.589208
-0.59,10,48.607165
-2.47,248,49.047214
-0.51,52,49.137689
-0.66,17,49.167163
-0.68,19,49.199905
-0.68,19,49.233746
-2.36,237,49.66037
-0.73,24,49.817859
-1.55,106,50.618467
-1.31,82,50.768816
-0.45,46,50.866334
-0.3,31,50.951466
-0.14,15,50.988017
-3.42,343,51.657379
-0.69,20,51.692929
-0.27,28,51.741468
-0.39,40,51.81266
-0.5,1,51.814538
-0.62,13,51.838301
-0.62,13,51.861711
-0.86,87,52.017687
-0.55,6,52.028026
-0.62,13,52.05055
-0.64,15,52.076272
-0.75,76,52.207673
-0.68,19,52.240402
-0.53,4,52.247353
-1.21,122,52.898587
-1.99,200,53.247224
-0.81,32,53.30326
-1.06,107,53.488736
-0.61,62,53.596293
-0.66,67,53.71248
-0.5,1,53.714264
-1.11,62,53.822355
-0.7,21,55.930945
-0.6,11,55.95224
-0.92,93,56.113668
-0.27,28,56.166474
-0.67,68,56.284229
-0.64,65,56.395636
-0.63,14,56.419348
-0.59,10,56.436815
-0.56,57,56.53703
-1.89,190,57.342018
-0.16,17,57.371919
-0.92,93,57.534505
-0.57,8,57.548456
-0.46,47,57.629691
-4.71,472,58.446778
-0.78,79,58.583512
-0.55,6,58.593914
-1.23,124,58.80766
-0.28,29,58.85799
-0.69,20,58.892041
-0.6,61,58.996722
-9.5,1000,61.264621
-0.31,32,61.801631
-0.55,6,61.813573
-0.94,45,61.894404
-0.68,69,62.019694
-0.9,91,62.183675
-0.18,19,62.217867
-0.71,72,62.349014
-0.19,20,62.386349
-0.65,66,62.511726
-0.44,45,62.591034
-0.74,75,62.721155
-3.21,322,63.27925
-0.39,40,63.34973
-0.05,6,63.360478
-0.91,42,63.432792
-0.58,9,63.448266
-0.49,50,63.544474
-0.6,61,64.129838
-0.55,6,64.141072
-0.8,81,64.291954
-0.85,36,64.356284
-0.76,27,64.403835
-0.88,39,64.472084
-0.56,7,64.484354
-0.61,12,64.505017
-0.29,30,64.568354
-0.77,28,64.62256
-1.17,118,64.856805
-0.64,15,64.883437
-1.26,127,65.143302
-0.74,25,65.189682
-0.2,21,65.236391
-1.03,54,65.340778
-0.86,87,65.517353
-0.39,40,65.601908
-0.21,22,65.642651
-0.57,8,65.658025
-0.21,22,65.700091
-0.26,27,65.748536
-0.95,96,65.92076
-0.29,30,65.974596
-1.26,127,66.668975
-0.18,19,66.702246
-0.19,20,66.736701
-0.29,30,66.789266
-0.15,16,66.817564
-0.44,45,66.895978
-1.15,116,67.096628
-1.36,137,67.333593
-0.54,5,67.343034
-0.84,85,67.498179
-0.28,29,67.549569
-0.58,9,67.566177
-0.96,47,67.649746
-1.12,113,67.852648
-0.55,6,67.862847
-0.51,2,67.866761
-0.54,55,67.963347
-0.19,20,67.998493
-0.36,37,68.064676
-0.55,6,68.075279
-0.8,81,68.21644
-0.53,4,68.22426
-1.39,140,68.965301
-0.81,32,69.021797
-0.57,8,69.035965
-0.52,3,69.041276
-0.33,34,69.102696
-0.39,40,69.173678
-0.64,65,69.288479
-0.61,62,69.398818
-0.5,1,69.400671
-2.87,288,69.922268
-0.68,69,70.042372
-3.42,343,70.727081
-0.42,43,71.310011
-0.54,5,71.318919
-0.51,52,71.412929
-0.53,4,71.419701
-0.57,58,71.522189
-0.56,7,71.534483
-0.65,16,71.564362
-0.51,2,71.568131
-0.35,36,71.630628
-1.22,123,71.849785
-0.39,40,71.925344
-0.57,8,71.941501
-0.7,21,71.978019
-0.45,46,72.05797
-0.62,63,72.168498
-0.21,22,72.20718
-0.2,21,72.244845
-0.52,3,72.250063
-0.66,17,72.280287
-0.68,19,72.3153
-0.24,25,72.358406
-0.51,2,72.362615
-1.21,72,72.49255
-0.51,2,72.496127
-0.21,22,72.535471
-0.23,24,72.577173
-0.8,81,72.719302
-0.6,11,72.738765
-0.66,67,72.857073
-0.33,34,72.927695
-0.26,27,72.976164
-0.23,24,73.018702
-0.53,4,73.02594
-0.16,17,73.055495
-0.95,96,73.690767
