#{"t_start": 1758581180.9858956, "env_id": "None"}
r,l,t
-0.97,48,6.768667
-3.47,298,7.320394
-0.86,37,7.387492
-0.93,94,7.555405
-2.06,207,7.946102
-1.02,103,8.158509
-0.81,32,8.2391
-0.27,28,8.289421
-2.78,279,8.800901
-0.8,31,8.856513
-0.5,1,8.858415
-2.3,231,9.279085
-1.79,180,9.59042
-1.61,112,9.790272
-0.62,13,9.812728
-0.58,9,9.82818
-4.02,403,10.988681
-1.96,147,11.246162
-2.52,253,11.68409
-3.86,387,12.569822
-1.51,152,12.853205
-1.66,117,13.065035
-1.58,109,13.26175
-0.74,25,13.306764
-3.29,330,13.927144
-9.5,1000,16.227268
-1.12,113,16.418838
-3.2,321,16.988453
-9.5,1000,18.761604
-0.54,5,18.77053
-0.5,1,18.772276
-0.57,8,18.785909
-2.57,258,19.691644
-0.76,27,19.736968
-5.82,583,20.724026
-0.93,44,20.797197
-1.06,157,21.062694
-0.71,22,21.099659
-9.5,1000,22.791346
-2.5,251,23.658667
-0.8,81,23.796816
-3.08,309,24.32692
-0.73,74,24.468037
-9.5,1000,26.176338
-0.91,42,26.247361
-0.53,4,26.254116
-2.89,290,28.298894
-1.53,104,28.922709
-0.82,83,29.063002
-9.0,1000,30.854029
-1.13,114,31.060205
-0.67,18,31.090805
-1.38,139,31.340489
-0.47,48,31.422083
-0.52,3,31.427231
-3.94,395,32.122399
-0.57,8,32.136894
-4.12,413,33.343749
-0.59,10,33.360803
-0.91,92,33.521865
-1.22,73,33.649118
-3.36,287,34.182323
-0.29,30,34.238319
-0.5,1,34.240145
-0.8,31,34.293581
-0.73,24,34.336242
-0.87,88,34.488457
-0.46,47,34.570854
-1.99,200,34.954273
-2.75,276,35.462302
-0.5,1,35.464167
-0.56,57,35.568087
-0.97,148,35.822032
-2.66,217,36.205218
-0.95,46,36.289417
-1.1,111,36.486107
-1.35,136,37.192102
-1.37,138,37.43431
-1.15,116,37.635722
-3.8,381,38.314607
-1.11,62,38.421258
-0.51,2,38.424976
-1.19,70,38.55643
-0.72,23,38.597082
-0.81,82,38.740217
-9.0,951,40.40685
-0.78,29,40.456538
-0.59,10,40.474063
-0.83,34,40.532787
-1.52,103,41.183016
-0.78,29,41.2361
-0.93,44,41.315496
-0.59,10,41.333162
-0.75,26,41.379097
-0.83,34,41.438815
-0.78,29,41.489351
-1.25,76,41.621427
-1.14,115,41.824107
-1.51,152,42.090833
-0.73,24,42.137329
-0.7,21,42.174418
-0.59,10,42.191344
-0.52,3,42.196646
-0.93,44,42.273454
-0.83,34,42.333329
-4.3,431,43.086154
-0.22,23,43.126255
-0.59,60,43.237165
-1.33,134,43.467316
-1.62,163,43.760833
-1.22,123,43.974405
-0.63,14,43.998804
-1.34,85,44.165138
-0.01,2,44.168942
-1.59,110,44.385517
-2.27,178,44.706187
-0.56,7,44.71923
-0.76,27,44.767255
-0.53,4,44.774527
-1.24,75,45.398068
-1.08,109,45.589158
-0.72,23,45.629732
-0.62,13,45.652078
-0.51,2,45.655685
-0.64,15,45.681938
-0.59,10,45.699159
-0.6,11,45.718246
-0.59,10,45.735573
-0.58,9,45.751288
-2.29,180,46.08863
-0.55,6,46.099388
-0.52,3,46.10501
-0.56,7,46.117971
-9.0,1000,47.946957
-1.94,145,50.847172
-0.77,28,50.895807
-2.16,167,51.19217
-1.73,174,51.49993
