#{"t_start": 1758587406.5240474, "env_id": "None"}
r,l,t
-0.37,5,1.487402
-0.4,11,1.517366
-0.445,20,1.570849
-0.37,5,1.582868
-0.4,11,1.612219
-0.72,175,2.060288
0.13,5,2.06995
-3.41,713,4.026137
-0.37,5,4.039934
-0.605,52,4.154171
-0.36,3,4.162395
-0.375,6,4.175876
-0.525,136,4.479105
-0.465,24,4.533965
-0.975,226,5.048014
-2.42,415,5.991654
-0.43,17,6.032765
-0.35,1,6.035757
0.115,8,6.058502
-0.485,28,6.134089
0.365,58,6.287759
-0.35,1,6.291101
0.105,10,6.317693
-1.295,190,9.15065
-0.025,36,9.22858
-0.45,21,9.2719
-0.355,2,9.277167
-0.415,14,9.307995
0.13,5,9.31934
0.07,17,9.355172
-0.73,77,9.5198
-2.42,515,10.644707
0.015,28,10.707191
-1.89,409,11.618438
0.125,6,11.632531
-0.425,16,11.768184
-0.365,4,11.779697
0.11,9,11.802805
-0.05,41,11.914708
-0.525,136,12.220474
-0.4,11,12.249272
-0.365,4,12.259304
0.055,20,12.302638
0.065,18,12.341605
-0.46,23,12.403153
-0.37,5,12.415312
-0.755,182,12.805274
0.145,2,12.810479
0.015,28,12.876182
-0.82,95,13.151757
0.07,117,13.449603
0.0,31,13.527925
0.135,4,13.53729
-0.36,3,13.545568
-0.355,2,13.550999
